"","Respond.ID","sr","trMiddle","trlast8","trfirst8","condition","difference","disMiddle","percentage","Duration..in.seconds.","condition.1","concern","frequency","sources","list","subjective","encounter","exhaustion","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","partisanship.","X.Partisanship2","age","gender","gender2","Warwick_ResponseID","tr80"
"44","R_3EGeEUyQyEBRll4",3.09090909090909,0.71978896103125,0.75,0.824155844125,"all true",-0.074155844125,0.46875,48.125,2671,"all true",3,2,1,"bbc news",NA,45,5,3,4,4,2,1,3,4,5,2,2,4,"Other","",18,"Female",NA,"f8db00285145ba02aea8",0.7332467532375
"45","R_3EGpuGxa2LCPRId",3.54545454545455,0.456875,0.465,0.6375,"more fake ",-0.1725,0.578125,57.5,723,"more fake ",2,1,1,"BBC News",30,67,2,5,5,5,1,2,3,3,4,4,3,4,"Other","",19,"Female",NA,"44770d1d1cb57402e059",0.47575
"46","R_3EKZDZUgM7s4DIe",3,0.4625,0.4275,0.4475,"all true",-0.02,0.703125,70,2035,"all true",3,3,3,"Weibo, BBC news, Wechat",25,64,5,5,5,5,1,1,1,5,5,1,1,3,"Independent","",20,"Female",NA,"fa880a2b3c6b59d7b3f1",0.4575
"47","R_3ELmxqTvcgTu7yp",3.09090909090909,0.430625,0.6225,0.53,"more fake ",0.0925,0.7265625,68.75,1216,"more fake ",3,3,1,"BBC news",70,65,4,4,4,4,2,1,1,2,4,4,4,4,"Democrat","",20,"Female",NA,"afd515902c811142ee03",0.45975
"48","R_3HRiQle3eOnC111",2.81818181818182,0.4315625,0.4525,0.485,"more fake ",-0.0325,0.6640625,66.875,2064,"more fake ",3,1,2,"BBC news, G1 (Brazilian source)",60,72,5,1,2,2,2,2,2,4,5,2,4,5,"Democrat","",18,"Female",NA,"1e50fe7ad4d68516e37a",0.439
"49","R_3HRqyTWGoyPt4nK",2.81818181818182,0.746875,0.725,0.66,"all true",0.0649999999999999,0.6484375,62.5,978,"all true",3,2,1,"BBC",41,50,4,2,2,4,2,1,2,4,5,2,3,4,"Other","None",18,"Female",NA,"b3e07127dd98dbe5fe93",0.736
"50","R_3I6nYOpMOVBV3MY",3.63636363636364,0.355625,0.22,0.7275,"more fake ",-0.5075,0.484375,50,1083,"more fake ",3,2,1,"BBC news",61,72,4,5,5,5,1,1,4,5,5,4,4,1,"Democrat","",19,"Female",NA,"44ba1afbdef1c7f627e2",0.37925
"51","R_3iQ0WsDt67mcIYc",2.90909090909091,0.5653125,0.5625,0.55,"all true",0.0125,0.5,52.5,1387,"all true",3,2,1,"BBC News ",40,46,4,4,4,5,1,1,1,3,4,4,2,3,"Other","Labour ",18,"Female",NA,"b4477e352c81e37ad252",0.5635
"52","R_3iwAHJVoVjId1wT",3.09090909090909,0.5415625,0.585,0.3675,"all true",0.2175,0.7578125,75,1769,"all true",4,1,6,"I usually scroll through a news app, with multiple papers and sources ",71,66,4,4,4,4,1,3,1,1,4,3,5,4,"Other","Unsure ",20,"Female",NA,"9c3d55a47837b2966dee",0.5285
"53","R_3KoOwyeSKwuLjkv",3.18181818181818,0.5434375,0.6,0.377142857125,"more fake ",0.222857142875,0.4609375,54.375,2070,"more fake ",4,2,3,"BBC News, Twitter, Facebook",35,61,2,4,4,5,2,1,3,2,4,3,4,3,"Independent","",18,"Female",NA,"8c588088f62aa5cb6c9c",0.5324642857125
"54","R_3L8323AWATVOHxm",3.36363636363636,0.31125,0.465,0.495,"more fake ",-0.03,0.671875,68.75,2349,"more fake ",3,1,0,"I don't really look at news",56,78,3,4,4,4,1,1,2,4,4,4,5,4,"Democrat","",18,"Female",NA,"90752dbfd5309bf8b12b",0.345
"55","R_3MGXyBSv4e0uYxa",2.36363636363636,0.523125,0.6375,0.4475,"all true",0.19,0.59375,60,2107,"all true",3,2,2,"the straits time, cna, nhs, gov.uk, bbc",40,61,5,2,2,2,2,1,1,1,4,2,4,5,"Democrat","",18,"Female",NA,"c68670d1fa337c69ebe3",0.527
"56","R_3neBcU5PSTHQbBP",3.27272727272727,0.4240625,0.6525,0.56,"more fake ",0.0924999999999999,0.7890625,72.5,1432,"more fake ",3,1,2,"""BBC, SKY NEWS""",77,88,4,4,3,4,1,1,3,4,4,4,3,5,"Independent","",18,"Female",NA,"b576b420ca03088f5cf7",0.4605
"57","R_3NJq8AhyWObVDBC",2.81818181818182,0.5609375,0.63,0.48,"all true",0.15,0.578125,57.5,1612,"all true",3,2,2,"BBC news, the Telegraph",35,61,3,2,4,5,2,2,2,3,3,2,4,2,"Democrat","",18,"Male",NA,"e79a7687b2c6b5756fb9",0.55975
"58","R_3nk1YI3O3flgmJA",2.72727272727273,0.6865625,0.72,0.645,"all true",0.075,0.3984375,41.875,771,"all true",2,1,1,"Apple news",20,41,4,4,3,3,1,1,2,2,4,3,4,3,"Democrat","",18,"Female",NA,"0ffbb5b9c242b560e8f3",0.68575
"59","R_3nryCQlNIQyDhtO",2.27272727272727,0.1809375,0.3,0.5075,"more fake ",-0.2075,0.703125,66.25,675,"more fake ",4,1,2,"""Twitter"", ""TV""",50,72,5,4,4,5,1,1,1,5,1,1,1,1,"Democrat","",20,"Female",NA,"a77f755a2f5d1e5e8060",0.2255
"60","R_3oRtBNhd04n2w34",2.63636363636364,0.2853125,0.28,0.74071428575,"more fake ",-0.46071428575,0.8046875,78.125,1256,"more fake ",5,1,1,"""Social Media""",80,95,4,1,1,4,1,2,2,4,2,3,4,5,"Democrat","",18,"Female",NA,"7c978671f8c69aa5b8a7",0.330321428575
"61","R_3PdUuYcBZcFMTdi",2.72727272727273,0.82625,0.9475,0.8125,"all true",0.135,0.4609375,50.625,763,"all true",3,2,1,"News outlets like the guardian etc",45,50,5,2,2,2,4,4,3,3,2,5,2,1,"Independent","",19,"Female",NA,"95d4d558b0d5029797b3",0.837
"62","R_3QMqrARpa7sNbNb",2.90909090909091,0.3921875,0.5975,0.315,"more fake ",0.2825,0.578125,57.5,6540,"more fake ",2,1,4,"BBC news, The Guardian, The Sun, Independent ",30,75,4,2,4,4,1,2,1,1,4,4,4,5,"Republican","",19,"Female",NA,"159c11296419d8ef4642",0.405
"63","R_3R4aOgAvU2c87Fv",3.63636363636364,0.873125,0.9475,0.7075,"more fake ",0.24,0.65625,63.75,508,"more fake ",3,2,2,"sky news, apple",72,78,4,5,4,5,1,4,2,3,4,4,4,4,"Democrat","",19,"Female",NA,"1b70cb576b2dacd08a8e",0.864
"64","R_3snqwJ103bWcd0c",4.18181818181818,0.7225,0.79,0.7175,"all true",0.0725,0.625,58.75,735,"all true",2,2,1,"BBC news online",32,41,5,5,5,5,2,3,2,4,5,5,5,5,"Other","",19,"Prefer not to say",NA,"6f9059ec3d823a8c42dd",0.72875
"65","R_51lTq3yfBE1hOP7",2.63636363636364,0.4634375,0.39,0.58428571425,"more fake ",-0.19428571425,0.359375,46.25,3763,"more fake ",3,2,3,"""apple news"" ""bbc news"" ""Warwick University website""",75,80,4,4,3,5,1,2,2,1,3,1,3,4,"Democrat","",18,"Female",NA,"39796434d26afcf9044a",0.468178571425
"66","R_5zJxh5Oga0bBKrD",3.36363636363636,0.49125,0.5725,0.6475,"more fake ",-0.075,0.8125,77.5,2391,"more fake ",4,2,1,"BBC",90,93,5,4,4,4,1,2,2,4,4,4,3,5,"Other","",18,"Female",NA,"ec1142e05ba15a2b2ace",0.515
"67","R_86BKiSKHtrBM05b",2.36363636363636,0.6384375,0.6825,0.705,"all true",-0.0225,0.671875,66.25,1494,"all true",2,2,1,"Channel 4 news",40,39,4,4,2,4,1,1,2,2,3,2,3,2,"Democrat","",18,"Female",NA,"6b60b9ec382394a6f935",0.6495
"68","R_8Ig4Wroz6NHIPPr",3.09090909090909,0.535,0.57,0.4425,"all true",0.1275,0.609375,63.75,961,"all true",3,2,1,"bbc news",40,36,5,3,2,4,4,1,2,3,4,2,4,5,"Democrat","",19,"Female",NA,"dad23a8d7e1c9a8ab9c2",0.52925
